"Part D Drug Utilization and Cost Summary, Calendar Years 2011 - 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,Generic Name,"Claim Count, 2011","Total Spending, 2011","Beneficiary Count, 2011","Total Annual Spending Per User, 2011","Unit Count, 2011","Average Cost Per Unit (Weighted), 2011","Beneficiary Count No LIS, 2011","Average Beneficiary Cost Share No LIS, 2011","Beneficiary Count LIS, 2011","Average Beneficiary Cost Share LIS, 2011","Claim Count, 2012","Total Spending, 2012","Beneficiary Count, 2012","Total Annual Spending Per User, 2012","Unit Count, 2012","Average Cost Per Unit (Weighted), 2012","Beneficiary Count No LIS, 2012","Average Beneficiary Cost Share No LIS, 2012","Beneficiary Count LIS, 2012","Average Beneficiary Cost Share LIS, 2012","Claim Count, 2013","Total Spending, 2013","Beneficiary Count, 2013","Total Annual Spending Per User, 2013","Unit Count, 2013","Average Cost Per Unit (Weighted), 2013","Beneficiary Count No LIS, 2013","Average Beneficiary Cost Share No LIS, 2013","Beneficiary Count LIS, 2013","Average Beneficiary Cost Share LIS, 2013","Claim Count, 2014","Total Spending, 2014","Beneficiary Count, 2014","Total Annual Spending Per User, 2014","Unit Count, 2014","Average Cost Per Unit (Weighted), 2014","Beneficiary Count No LIS, 2014","Average Beneficiary Cost Share No LIS, 2014","Beneficiary Count LIS, 2014","Average Beneficiary Cost Share LIS, 2014","Claim Count, 2015","Total Spending, 2015","Beneficiary Count, 2015","Total Annual Spending Per User, 2015","Unit Count, 2015","Average Cost Per Unit (Weighted), 2015","Beneficiary Count No LIS, 2015","Average Beneficiary Cost Share No LIS, 2015","Beneficiary Count LIS, 2015","Average Beneficiary Cost Share LIS, 2015","Annual Change in Average Cost Per Unit, 2015"
CALCIUM-FOLIC ACID PLUS D ,CALCIUM/MAG/D3/B12/FA/B6/BORON ,18,"$1,137.47",,,"2,010",$0.57,,,,,209,"$10,082.12",67,$150.48,"16,830",$0.60,67,,0,,252,"$14,773.83",78,$189.41,"23,345",$0.63,78,,0,,,,,,,,,,,,,,,,,,,,,,
CAMBIA ,DICLOFENAC POTASSIUM ,,,,,,,,,,,"1,974","$606,831.91",945,$642.15,"26,540",$22.87,393,$120.43,552,$7.84,"3,501","$1,110,690.08","1,451",$765.47,"66,147",$16.79,627,$130.65,824,$9.60,"5,233","$2,215,927.42","2,083","$1,063.82","69,799",$31.75,796,$132.49,"1,287",$8.98,"6,863","$3,471,546.75","2,449","$1,417.54","86,851",$39.97,959,$168.15,"1,490",$9.80,26%
CAMILA ,NORETHINDRONE ,"10,913","$332,108.44","2,407",$137.98,"361,909",$0.92,300,$43.06,"2,107",$5.88,"12,047","$353,016.86","2,491",$141.72,"405,954",$0.87,325,$46.06,"2,166",$5.72,"10,689","$287,548.51","2,339",$122.94,"362,400",$0.79,305,$61.31,"2,034",$5.35,"6,983","$173,804.65","1,875",$92.70,"246,940",$0.70,240,$44.68,"1,635",$4.52,"6,845","$155,013.51","1,660",$93.38,"247,801",$0.63,177,$58.90,"1,483",$4.73,-11%
CAMPATH ,ALEMTUZUMAB ,30,"$364,472.61",12,"$30,372.72",202,"$1,804.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPRAL ,ACAMPROSATE CALCIUM ,"31,025","$4,349,524.29","9,068",$479.66,"4,962,636",$0.88,"2,503",$154.99,"6,565",$12.45,"27,760","$4,303,928.79","8,033",$535.78,"4,449,593",$0.97,"2,324",$171.49,"5,709",$12.62,"21,760","$3,784,723.61","6,821",$554.86,"3,409,188",$1.11,"2,179",$172.72,"4,642",$13.84,"2,761","$553,097.23","1,146",$482.63,"422,766",$1.31,391,$146.44,755,$7.12,337,"$66,280.42",208,$318.66,"46,285",$1.43,61,$102.64,147,$7.12,
CAMPTOSAR ,IRINOTECAN HCL ,27,"$14,731.38",13,"$1,133.18",482,$30.48,,,,,30,"$7,226.19",,,572,$12.68,,,,,32,"$7,638.50",13,$587.58,588,$12.99,,,,,104,"$28,423.36",35,$812.10,"2,214",$12.85,16,$61.36,19,$4.64,25,"$10,285.64",13,$791.20,815,$12.62,,,,,
CAMRESE ,L-NORGEST/E.ESTRADION-E.ESTRAD ,531,"$111,539.53",415,$268.77,"48,309",$2.31,29,$60.21,386,$1.88,"2,401","$498,377.08","1,103",$451.84,"218,778",$2.28,95,$111.32,"1,008",$3.25,"2,647","$471,886.41","1,111",$424.74,"238,860",$1.98,105,$93.01,"1,006",$3.51,"3,214","$600,170.19","1,259",$476.70,"290,572",$2.07,110,$150.71,"1,149",$4.78,"2,955","$532,086.59","1,241",$428.76,"267,695",$1.99,119,$144.32,"1,122",$3.86,-4%
CAMRESE LO ,L-NORGEST/E.ESTRADION-E.ESTRAD ,,,,,,,,,,,305,"$62,824.61",146,$430.31,"27,446",$2.29,12,$63.91,134,$4.24,373,"$73,887.28",159,$464.70,"33,272",$2.22,23,$90.81,136,$3.53,454,"$81,658.36",192,$425.30,"40,870",$2.00,25,$99.70,167,$2.91,572,"$104,355.58",240,$434.81,"52,296",$2.00,27,$183.32,213,$3.02,
CANASA ,MESALAMINE ,"38,157","$18,534,457.54","16,955","$1,093.16","1,233,870",$15.02,"11,040",$154.17,"5,915",$11.29,"41,663","$25,435,007.86","17,992","$1,413.68","1,363,734",$18.65,"11,960",$176.26,"6,032",$10.42,"46,836","$32,095,557.90","20,250","$1,584.97","1,584,442",$20.26,"14,092",$171.61,"6,158",$9.93,"50,251","$38,799,726.76","21,019","$1,845.94","1,709,723",$22.69,"13,774",$193.94,"7,245",$8.54,"44,428","$38,520,046.44","18,170","$2,119.98","1,517,705",$25.38,"12,026",$259.72,"6,144",$10.62,12%
CANCIDAS ,CASPOFUNGIN ACETATE ,"1,374","$2,669,213.07",350,"$7,626.32","174,354",$17.34,89,"$1,270.11",261,$6.69,"1,139","$2,496,234.35",254,"$9,827.69","230,222",$27.77,61,"$1,817.62",193,$3.66,"1,109","$2,471,712.36",258,"$9,580.28","148,944",$17.89,88,"$1,256.08",170,$31.23,988,"$2,141,948.65",233,"$9,192.91","150,923",$18.05,76,$896.91,157,$21.68,"1,215","$2,365,972.54",250,"$9,463.89","198,069",$13.63,83,"$1,378.90",167,$5.14,
CANDESARTAN CILEXETIL ,CANDESARTAN CILEXETIL ,,,,,,,,,,,,,,,,,,,,,"69,113","$10,302,478.61","23,393",$440.41,"3,805,288",$2.72,"20,084",$74.88,"3,309",$6.95,"166,366","$24,027,922.06","35,747",$672.17,"8,963,779",$2.69,"29,812",$134.94,"5,935",$10.68,"186,129","$24,736,786.60","39,083",$632.93,"10,241,956",$2.42,"32,797",$116.65,"6,286",$11.27,-9%
CANDESARTAN-HYDROCHLOROTHIAZID ,CANDESARTAN/HYDROCHLOROTHIAZID ,,,,,,,,,,,857,"$157,751.51",856,$184.29,"52,995",$2.98,739,$29.75,117,$2.18,"43,501","$6,560,184.75","10,018",$654.84,"2,428,980",$2.70,"8,678",$95.37,"1,340",$9.95,"52,393","$7,067,247.01","11,380",$621.02,"2,902,183",$2.44,"9,851",$122.84,"1,529",$11.89,"47,048","$6,452,394.40","10,683",$603.99,"2,726,170",$2.37,"9,346",$99.77,"1,337",$10.67,-3%
CANTIL ,MEPENZOLATE BROMIDE ,393,"$58,837.08",135,$435.83,"39,655",$1.48,105,$192.26,30,$19.06,442,"$82,943.44",112,$740.57,"51,275",$1.62,89,$289.34,23,$27.05,503,"$107,575.50",135,$796.86,"57,599",$1.87,114,$261.70,21,$27.03,513,"$118,818.83",124,$958.22,"57,523",$2.07,110,$282.56,14,$13.38,456,"$112,431.28",104,"$1,081.07","54,237",$2.07,90,$320.50,14,$13.67,
CAPACET ,BUTALB/ACETAMINOPHEN/CAFFEINE ,,,,,,,,,,,11,$133.78,,,484,$0.28,,,,,36,$492.80,,,"1,834",$0.27,,,,,762,"$10,819.74",396,$27.32,"40,074",$0.27,224,$19.81,172,$1.23,"1,196","$31,782.22",623,$51.01,"60,123",$0.53,330,$22.41,293,$1.95,
CAPASTAT SULFATE ,CAPREOMYCIN SULFATE ,,,,,,,,,,,23,"$17,514.98",,,116,$150.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPCOF ,CHLORPHENIRAMINE/PE/CODEINE ,141,"$1,393.84",116,$12.02,"20,548",$0.07,,,,,45,$478.92,39,$12.28,"7,561",$0.06,39,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPECITABINE ,CAPECITABINE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,"$49,069.34",,,"1,590",$30.86,,,,,136,"$270,403.74",43,"$6,288.46","10,572",$25.59,13,"$1,749.55",30,$201.74,
CAPEX SHAMPOO ,FLUOCINOLONE ACETONIDE ,"7,933","$2,086,933.97","3,748",$556.81,"1,045,090",$2.00,"1,869",$102.62,"1,879",$7.42,"9,121","$2,993,842.08","4,290",$697.87,"1,209,873",$2.47,"1,970",$108.58,"2,320",$6.30,"3,649","$1,343,335.09","2,245",$598.37,"474,131",$2.83,988,$88.40,"1,257",$5.57,256,"$100,018.32",166,$602.52,"34,402",$2.91,37,$137.25,129,$16.43,105,"$44,935.53",84,$534.95,"14,744",$3.05,37,$98.49,47,$3.01,
CAPHOSOL ,SALIVA SUBSTITUTE COMBO NO.2 ,101,"$55,848.82",62,$900.79,"266,230",$0.21,48,$115.85,14,$6.79,40,"$27,388.87",26,"$1,053.42","135,900",$0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL W-CODEINE ,ACETAMINOPHEN WITH CODEINE ,37,"$9,538.07",28,$340.65,"12,102",$0.79,16,$57.98,12,$2.53,27,"$8,607.63",19,$453.03,"9,229",$0.93,,,,,21,"$6,898.24",20,$344.91,"6,156",$1.12,,,,,19,"$10,671.58",13,$820.89,"5,522",$1.93,,,,,,,,,,,,,,,
CAPRELSA ,VANDETANIB ,112,"$1,135,497.33",46,"$24,684.72","4,422",$283.88,30,"$2,344.79",16,$2.04,620,"$6,080,607.18",120,"$50,671.73","26,028",$260.61,76,"$4,181.38",44,$165.52,745,"$7,239,580.08",134,"$54,026.72","31,649",$251.42,87,"$4,003.03",47,$453.36,811,"$8,125,740.67",128,"$63,482.35","31,882",$277.90,87,"$4,551.03",41,$75.18,788,"$8,869,015.20",137,"$64,737.34","31,300",$307.87,96,"$4,173.67",41,$212.09,
CAPTOPRIL ,CAPTOPRIL ,"689,501","$5,142,139.89","112,875",$45.56,"60,529,651",$0.08,"71,430",$21.41,"41,445",$7.43,"597,205","$4,760,534.71","100,821",$47.22,"54,329,723",$0.09,"64,903",$21.13,"35,918",$6.54,"535,658","$9,897,303.92","93,541",$105.81,"51,026,954",$0.19,"62,152",$25.60,"31,389",$6.59,"458,345","$37,263,265.91","82,827",$449.89,"44,776,539",$0.81,"55,291",$48.11,"27,536",$7.59,"378,137","$43,254,978.54","70,335",$614.99,"37,888,238",$1.11,"46,473",$53.99,"23,862",$7.56,38%
CAPTOPRIL-HYDROCHLOROTHIAZIDE ,CAPTOPRIL/HYDROCHLOROTHIAZIDE ,"51,489","$1,009,788.25","8,417",$119.97,"3,431,883",$0.29,"5,694",$46.80,"2,723",$10.63,"42,515","$864,772.74","7,514",$115.09,"2,967,003",$0.29,"5,212",$46.21,"2,302",$10.10,"38,400","$1,293,586.24","6,931",$186.64,"2,891,366",$0.45,"5,017",$55.04,"1,914",$10.33,"32,971","$2,592,587.77","6,219",$416.88,"2,571,231",$1.01,"4,564",$69.22,"1,655",$11.80,"27,905","$3,475,680.75","5,385",$645.44,"2,212,939",$1.57,"3,969",$69.86,"1,416",$12.43,57%
CAPTRACIN ,CAPSAICIN/MENTHOL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,"$28,624.49",13,"$2,201.88",960,$29.82,,,,,
CARAC ,FLUOROURACIL ,"56,216","$11,754,308.15","45,546",$258.08,"1,813,738",$6.48,"40,899",$88.37,"4,647",$9.40,"51,879","$17,202,257.11","42,337",$406.32,"1,667,255",$10.32,"38,131",$105.25,"4,206",$8.09,"53,265","$23,693,519.36","43,419",$545.69,"1,715,936",$13.81,"39,762",$103.33,"3,657",$9.38,"33,568","$35,873,705.25","27,784","$1,291.16","1,071,274",$33.49,"25,125",$107.72,"2,659",$10.45,"6,643","$16,328,203.89","5,402","$3,022.62","213,543",$76.46,"4,650",$136.95,752,$8.05,128%
CARAFATE ,SUCRALFATE ,"337,874","$41,153,281.77","131,169",$313.74,"221,302,493",$0.19,"67,049",$90.89,"64,120",$9.05,"364,493","$49,357,573.72","137,871",$358.00,"239,156,485",$0.21,"72,181",$97.37,"65,690",$8.34,"410,998","$66,351,061.46","155,715",$426.11,"274,385,211",$0.24,"86,024",$94.78,"69,691",$8.99,"433,238","$81,247,935.39","164,658",$493.43,"290,143,316",$0.28,"90,305",$101.79,"74,353",$9.07,"391,364","$86,482,809.44","153,128",$564.77,"261,890,945",$0.33,"87,752",$108.17,"65,376",$9.16,18%
CARBAGLU ,CARGLUMIC ACID ,,,,,,,,,,,13,"$543,843.64",,,"3,900",$139.45,,,,,24,"$1,427,207.55",,,"9,620",$148.36,,,,,60,"$2,901,115.46",,,"17,450",$166.25,,,,,58,"$3,964,107.16",,,"23,940",$165.59,,,,,
CARBAMAZEPINE ,CARBAMAZEPINE ,"1,210,226","$20,395,759.47","171,699",$118.79,"165,515,224",$0.12,"55,959",$34.45,"115,740",$7.19,"1,206,752","$19,705,715.19","173,852",$113.35,"168,173,919",$0.11,"58,569",$34.07,"115,283",$5.27,"1,204,939","$20,942,159.09","176,999",$118.32,"169,240,492",$0.12,"64,091",$42.81,"112,908",$5.53,"1,184,254","$41,034,011.87","179,333",$228.81,"167,052,340",$0.27,"66,954",$60.93,"112,379",$5.63,"1,149,167","$89,715,055.84","172,550",$519.94,"163,454,815",$0.64,"65,532",$95.74,"107,018",$6.76,131%
CARBAMAZEPINE ER ,CARBAMAZEPINE ,"182,761","$19,847,492.36","34,325",$578.22,"16,771,003",$1.22,"9,498",$126.68,"24,827",$6.99,"334,165","$37,953,481.03","49,467",$767.25,"31,885,193",$1.22,"15,372",$149.36,"34,095",$7.40,"408,484","$52,108,110.88","58,616",$888.97,"39,756,664",$1.35,"20,410",$166.77,"38,206",$9.16,"443,674","$60,561,439.34","63,169",$958.72,"43,346,261",$1.45,"22,641",$190.72,"40,528",$9.17,"466,520","$67,792,408.98","65,454","$1,035.73","45,416,857",$1.55,"23,945",$219.90,"41,509",$9.78,7%
CARBAMAZEPINE XR ,CARBAMAZEPINE ,"78,279","$7,651,715.28","13,840",$552.87,"6,986,340",$1.15,"3,676",$98.60,"10,164",$7.41,"18,012","$1,551,570.16","5,010",$309.69,"1,407,979",$1.14,"1,175",$50.51,"3,835",$3.38,"5,777","$470,792.73","1,319",$356.93,"427,308",$1.14,278,$55.96,"1,041",$3.36,110,"$8,363.00",101,$82.80,"7,949",$1.07,18,$25.85,83,$0.83,,,,,,,,,,,
CARBATROL ,CARBAMAZEPINE ,"142,182","$25,007,888.50","19,978","$1,251.77","14,577,504",$1.72,"5,300",$351.68,"14,678",$26.12,"74,640","$14,848,710.59","10,188","$1,457.47","8,156,429",$1.82,"2,769",$403.20,"7,419",$18.85,"47,014","$9,534,632.44","6,085","$1,566.91","5,313,536",$1.79,"1,615",$499.64,"4,470",$18.20,"38,160","$8,058,081.69","4,621","$1,743.80","4,509,801",$1.79,"1,308",$547.35,"3,313",$19.06,"32,617","$7,083,468.82","3,938","$1,798.75","3,980,349",$1.78,"1,094",$570.20,"2,844",$19.71,0%
CARBIDOPA ,CARBIDOPA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,813","$10,759,522.79","2,786","$3,862.00","1,311,598",$8.20,"2,046",$347.60,740,$14.43,"15,948","$16,743,888.97","3,438","$4,870.24","2,113,750",$7.92,"2,533",$447.73,905,$25.15,-3%
CARBIDOPA-LEVODOPA ,CARBIDOPA/LEVODOPA ,"2,267,738","$97,026,414.82","349,395",$277.70,"307,029,114",$0.32,"206,223",$87.84,"143,172",$7.59,"2,367,422","$101,316,120.85","368,997",$274.57,"345,797,593",$0.29,"224,439",$88.74,"144,558",$6.56,"2,567,077","$99,786,275.22","405,613",$246.01,"385,959,088",$0.26,"260,989",$75.58,"144,624",$6.57,"2,667,515","$97,247,607.14","425,372",$228.62,"421,845,125",$0.23,"279,654",$81.00,"145,718",$6.73,"2,753,008","$91,051,312.53","442,141",$205.93,"441,673,545",$0.21,"295,817",$79.16,"146,324",$6.76,-11%
CARBIDOPA-LEVODOPA ER ,CARBIDOPA/LEVODOPA ,"513,069","$35,559,290.25","84,930",$418.69,"53,680,261",$0.67,"53,586",$102.58,"31,344",$9.28,"516,013","$33,633,299.58","87,233",$385.56,"55,844,888",$0.61,"56,623",$100.02,"30,610",$7.72,"541,214","$34,818,798.10","94,330",$369.12,"61,777,288",$0.57,"64,825",$92.86,"29,505",$7.99,"556,832","$31,848,296.07","98,623",$322.93,"63,366,834",$0.51,"69,069",$99.08,"29,554",$8.40,"556,750","$35,535,769.72","100,196",$354.66,"63,520,659",$0.57,"71,127",$103.50,"29,069",$8.32,12%
CARBIDOPA-LEVODOPA-ENTACAPONE ,CARBIDOPA/LEVODOPA/ENTACAPONE ,,,,,,,,,,,"66,615","$26,374,360.31","15,928","$1,655.85","8,887,952",$2.97,"10,524",$322.84,"5,404",$12.17,"153,740","$58,419,445.36","23,164","$2,521.99","20,138,405",$2.90,"16,129",$384.69,"7,035",$23.28,"152,940","$53,530,771.59","22,286","$2,401.99","20,012,327",$2.68,"15,482",$384.42,"6,804",$22.03,"138,105","$44,919,084.55","19,587","$2,293.31","18,418,200",$2.44,"13,833",$394.72,"5,754",$22.83,-9%
CARBINOXAMINE MALEATE ,CARBINOXAMINE MALEATE ,"10,488","$380,738.13","4,354",$87.45,"650,553",$0.64,"2,441",$22.75,"1,913",$4.17,"14,396","$541,202.09","5,856",$92.42,"894,481",$0.64,"3,436",$22.03,"2,420",$4.28,"13,073","$438,683.13","5,233",$83.83,"847,633",$0.54,"3,185",$24.35,"2,048",$4.47,"10,470","$341,629.93","4,193",$81.48,"663,199",$0.54,"2,590",$28.67,"1,603",$3.35,"5,385","$181,683.55","2,388",$76.08,"352,974",$0.53,"1,373",$31.03,"1,015",$3.16,-1%
CARBOCAINE ,MEPIVACAINE HCL/PF ,,,,,,,,,,,14,$112.53,13,$8.66,349,$0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBOFED DM ,BROMPHENIRAMINE/PSEUDOEPHED/DM ,22,$278.18,18,$15.45,"4,230",$0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBOPLATIN ,CARBOPLATIN ,"1,877","$233,342.02",554,$421.19,"88,445",$12.46,238,$84.30,316,$5.27,"2,041","$176,456.98",633,$278.76,"103,282",$3.46,257,$62.42,376,$4.13,"2,383","$167,226.71",684,$244.48,"120,015",$1.47,284,$49.43,400,$2.14,"3,186","$238,788.87","1,009",$236.66,"177,509",$1.35,459,$52.71,550,$3.10,"3,912","$251,452.89","1,023",$245.80,"194,542",$1.29,509,$49.54,514,$4.18,-4%
CARDENE SR ,NICARDIPINE HCL ,33,"$3,239.02",18,$179.95,"2,114",$1.57,,,,,306,"$43,447.45",107,$406.05,"22,968",$1.88,85,$169.37,22,$9.30,609,"$89,554.61",156,$574.07,"46,048",$2.04,122,$239.38,34,$19.83,349,"$45,897.10",131,$350.36,"24,335",$1.96,103,$168.44,28,$23.35,,,,,,,,,,,
CARDIOTEK-RX ,FA/ARGININE HCL/B12/B6/PEP EX ,73,"$2,778.62",13,$213.74,"3,630",$0.77,,,,,91,"$4,005.15",23,$174.14,"5,220",$0.77,,,,,152,"$7,378.53",33,$223.59,"8,580",$0.86,,,,,,,,,,,,,,,,,,,,,,,,,
CARDIZEM ,DILTIAZEM HCL ,"1,093","$194,125.39",240,$808.86,"122,291",$1.65,152,$278.79,88,$21.47,"1,052","$212,738.85",220,$966.99,"118,341",$1.85,152,$310.73,68,$16.32,"1,043","$369,167.89",228,"$1,619.16","132,451",$2.85,169,$348.89,59,$15.83,868,"$509,743.54",216,"$2,359.92","110,082",$4.76,157,$341.51,59,$10.78,621,"$653,698.25",157,"$4,163.68","79,019",$8.28,121,$358.44,36,$11.95,
CARDIZEM CD ,DILTIAZEM HCL ,"75,927","$24,172,183.77","16,463","$1,468.27","3,183,068",$7.72,"8,998",$323.02,"7,465",$24.59,"32,498","$11,284,989.38","7,851","$1,437.40","1,484,127",$7.88,"4,680",$323.79,"3,171",$18.86,"20,219","$10,926,071.51","4,137","$2,641.06","1,021,295",$11.36,"2,931",$463.47,"1,206",$30.12,"14,656","$13,562,421.63","3,220","$4,211.93","795,281",$17.81,"2,385",$509.21,835,$31.00,"9,451","$18,062,270.66","2,078","$8,692.14","518,347",$36.23,"1,455",$621.50,623,$26.67,96%
CARDIZEM LA ,DILTIAZEM HCL ,"25,284","$4,215,737.59","7,858",$536.49,"1,290,445",$3.26,"5,363",$189.98,"2,495",$14.45,"24,903","$4,793,849.37","7,031",$681.82,"1,438,434",$3.35,"5,295",$190.67,"1,736",$15.88,"27,248","$5,831,233.18","8,321",$700.79,"1,796,872",$3.28,"7,085",$148.19,"1,236",$16.94,"24,853","$5,549,434.15","7,682",$722.39,"1,656,912",$3.40,"6,464",$153.55,"1,218",$16.29,"25,196","$5,553,174.10","7,422",$748.20,"1,733,788",$3.28,"6,225",$151.34,"1,197",$13.55,-3%
CARDURA ,DOXAZOSIN MESYLATE ,"4,821","$405,165.78","1,151",$352.01,"251,858",$1.61,826,$190.11,325,$17.62,"5,024","$515,909.23","1,233",$418.42,"284,701",$1.82,877,$211.23,356,$15.63,"5,052","$639,655.64","1,094",$584.69,"318,462",$2.02,884,$240.80,210,$20.34,"4,543","$675,743.13",971,$695.92,"288,455",$2.35,779,$256.42,192,$25.75,"4,067","$705,386.25",849,$830.84,"254,918",$2.78,658,$265.54,191,$22.71,
CARDURA XL ,DOXAZOSIN MESYLATE ,"2,105","$169,976.67",648,$262.31,"94,360",$1.80,437,$168.56,211,$13.86,"2,571","$253,136.51",773,$327.47,"123,297",$2.05,557,$174.25,216,$13.12,"3,624","$431,593.99","1,076",$401.11,"192,388",$2.24,825,$184.86,251,$10.67,"3,532","$474,292.01","1,060",$447.45,"181,533",$2.61,791,$202.64,269,$8.79,"3,087","$493,077.03",996,$495.06,"160,394",$3.07,753,$187.83,243,$8.45,
CAREFINE PEN NEEDLE ,"PEN NEEDLE, DIABETIC ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,"$25,131.90",574,$43.78,"116,608",$0.21,250,$19.87,324,$2.71,
CAREONE ,"SYR-ND,INS,0.5/CONTAINER,EMPTY ",12,$274.80,,,"1,200",$0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARIMUNE NF NANOFILTERED ,IMMUN GLOB G(IGG)/SUCR/IGA 50+ ,"1,537","$7,471,577.70",139,"$53,752.36","59,448",$126.33,46,"$3,786.12",93,$99.44,"1,111","$5,307,619.95",123,"$43,151.38","18,723",$323.16,35,"$3,302.32",88,$64.35,672,"$3,742,765.13",74,"$50,577.91","15,061",$273.62,32,"$2,970.59",42,$33.07,824,"$4,210,380.71",80,"$52,629.76","20,425",$209.97,32,"$3,867.08",48,$35.65,905,"$4,963,588.91",70,"$70,908.41","30,968",$341.84,30,"$3,717.75",40,$145.47,
CARISOPRODOL ,CARISOPRODOL ,"2,644,079","$34,456,994.78","458,310",$75.18,"211,308,947",$0.17,"171,854",$26.31,"286,456",$9.28,"2,218,283","$30,767,523.20","396,078",$77.68,"179,791,074",$0.18,"146,405",$36.19,"249,673",$9.09,"1,893,671","$33,379,588.34","338,280",$98.67,"154,639,406",$0.22,"133,126",$52.19,"205,154",$9.78,"1,548,764","$35,374,225.33","287,227",$123.16,"127,286,550",$0.29,"115,146",$52.58,"172,081",$8.58,"1,080,946","$18,414,097.09","211,898",$86.90,"90,496,167",$0.21,"88,186",$50.12,"123,712",$8.10,-30%
CARISOPRODOL COMPOUND ,CARISOPRODOL/ASPIRIN ,"3,084","$363,063.43","1,262",$287.69,"221,972",$1.64,679,$34.76,583,$4.41,900,"$121,912.49",424,$287.53,"65,617",$1.86,203,$61.32,221,$4.79,428,"$56,169.20",180,$312.05,"31,495",$1.78,114,$65.85,66,$6.68,266,"$31,319.39",112,$279.64,"18,291",$1.71,63,$76.51,49,$5.90,149,"$21,954.14",55,$399.17,"13,184",$1.67,30,$58.95,25,$5.13,
CARISOPRODOL COMPOUND-CODEINE ,CODEINE/CARISOPRODOL/ASPIRIN ,"1,865","$299,507.99",536,$558.78,"151,839",$1.97,298,$123.62,238,$10.46,"1,205","$223,080.18",322,$692.80,"108,216",$2.06,186,$147.95,136,$13.03,676,"$144,325.65",186,$775.94,"70,171",$2.06,114,$168.48,72,$7.67,545,"$105,639.47",121,$873.05,"52,892",$2.00,78,$214.64,43,$5.16,317,"$50,586.74",75,$674.49,"27,658",$1.83,51,$225.65,24,$29.34,
CARISOPRODOL-ASPIRIN ,CARISOPRODOL/ASPIRIN ,203,"$28,845.65",111,$259.87,"18,113",$1.59,70,$20.00,41,$1.84,540,"$85,066.53",214,$397.51,"51,492",$1.65,115,$75.22,99,$4.07,535,"$79,045.55",198,$399.22,"50,045",$1.58,126,$94.00,72,$4.09,389,"$59,011.31",155,$380.72,"38,270",$1.54,113,$96.68,42,$3.22,199,"$30,803.55",85,$362.39,"19,569",$1.57,68,$60.57,17,$2.18,
CARISOPRODOL-ASPIRIN-CODEINE ,CODEINE/CARISOPRODOL/ASPIRIN ,,,,,,,,,,,81,"$15,582.33",38,$410.06,"7,174",$2.17,21,$31.75,17,$2.85,319,"$63,724.69",108,$590.04,"31,375",$2.03,68,$101.93,40,$4.88,292,"$64,021.68",79,$810.40,"32,013",$2.00,54,$132.46,25,$9.49,207,"$40,631.48",49,$829.21,"20,203",$2.01,36,$148.56,13,$35.95,
CARMOL 40 ,UREA ,191,"$32,823.77",157,$209.07,"22,293",$1.88,82,$26.36,75,$2.75,14,"$2,534.66",,,"2,399",$1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARMOL HC ,HYDROCORTISONE ACETATE/UREA ,126,"$28,891.88",77,$375.22,"12,384",$2.33,24,$64.40,53,$1.74,18,"$3,534.96",,,"1,474",$2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNITOR ,LEVOCARNITINE ,873,"$182,189.26",163,"$1,117.73","84,812",$4.10,37,$268.79,126,$6.30,"1,074","$219,167.73",128,"$1,712.25","187,518",$1.19,40,$346.84,88,$14.25,"1,208","$238,444.68",128,"$1,862.85","390,117",$0.65,44,$371.26,84,$15.41,"1,316","$242,659.42",133,"$1,824.51","135,482",$2.30,48,$488.64,85,$22.37,"1,210","$237,709.48",135,"$1,760.81","196,296",$1.25,47,$227.20,88,$32.36,
CARNITOR ,LEVOCARNITINE (WITH SUGAR) ,127,"$15,870.06",29,$547.24,"64,765",$0.25,0,,29,$6.82,102,"$17,298.73",23,$752.12,"69,191",$0.25,,,,,93,"$15,584.04",22,$708.37,"64,840",$0.24,,,,,89,"$15,684.26",12,"$1,307.02","63,322",$0.25,0,,12,$4.54,116,"$18,747.33",17,"$1,102.78","73,446",$0.26,,,,,
