Notes,Year,Year Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,% of Total Deaths
,2005,2005,Indiana,18,Female,F,35-44 years,35-44,22,450411,4.9,1,0
,2005,2005,Indiana,18,Female,F,45-54 years,45-54,14,457686,Unreliable,0.8,0
Total,2005,2005,Indiana,18,Female,F,,,63,3191481,2.0,0.2,0
,2005,2005,Indiana,18,Male,M,15-24 years,15-24,25,468301,5.3,1.1,0
,2005,2005,Indiana,18,Male,M,25-34 years,25-34,38,408775,9.3,1.5,0
,2005,2005,Indiana,18,Male,M,35-44 years,35-44,28,449758,6.2,1.2,0
,2005,2005,Indiana,18,Male,M,45-54 years,45-54,37,450152,8.2,1.4,0
Total,2005,2005,Indiana,18,Male,M,,,136,3087135,4.4,0.4,0
Total,2005,2005,Indiana,18,,,,,199,6278616,3.2,0.2,0.001
,2005,2005,Iowa,19,Female,F,45-54 years,45-54,18,215869,Unreliable,2,0
Total,2005,2005,Iowa,19,Female,F,,,35,1503019,2.3,0.4,0
,2005,2005,Iowa,19,Male,M,25-34 years,25-34,12,178446,Unreliable,1.9,0
,2005,2005,Iowa,19,Male,M,35-44 years,35-44,14,202302,Unreliable,1.8,0
Total,2005,2005,Iowa,19,Male,M,,,41,1461435,2.8,0.4,0
Total,2005,2005,Iowa,19,,,,,76,2964454,2.6,0.3,0
,2005,2005,Kansas,20,Female,F,35-44 years,35-44,21,188364,11.1,2.4,0
,2005,2005,Kansas,20,Female,F,45-54 years,45-54,15,199633,Unreliable,1.9,0
Total,2005,2005,Kansas,20,Female,F,,,43,1387958,3.1,0.5,0
,2005,2005,Kansas,20,Male,M,25-34 years,25-34,13,171416,Unreliable,2.1,0
,2005,2005,Kansas,20,Male,M,35-44 years,35-44,30,188681,15.9,2.9,0
,2005,2005,Kansas,20,Male,M,45-54 years,45-54,30,198165,15.1,2.8,0
Total,2005,2005,Kansas,20,Male,M,,,84,1357341,6.2,0.7,0
Total,2005,2005,Kansas,20,,,,,127,2745299,4.6,0.4,0
,2005,2005,Kentucky,21,Female,F,25-34 years,25-34,17,275514,Unreliable,1.5,0
,2005,2005,Kentucky,21,Female,F,35-44 years,35-44,30,305949,9.8,1.8,0
,2005,2005,Kentucky,21,Female,F,45-54 years,45-54,42,312020,13.5,2.1,0
Total,2005,2005,Kentucky,21,Female,F,,,99,2129658,4.6,0.5,0
,2005,2005,Kentucky,21,Male,M,15-24 years,15-24,34,301137,11.3,1.9,0
,2005,2005,Kentucky,21,Male,M,25-34 years,25-34,72,279001,25.8,3,0
,2005,2005,Kentucky,21,Male,M,35-44 years,35-44,53,303411,17.5,2.4,0
,2005,2005,Kentucky,21,Male,M,45-54 years,45-54,58,301962,19.2,2.5,0
,2005,2005,Kentucky,21,Male,M,55-64 years,55-64,10,222225,Unreliable,1.4,0
Total,2005,2005,Kentucky,21,Male,M,,,228,2053084,11.1,0.7,0.001
Total,2005,2005,Kentucky,21,,,,,327,4182742,7.8,0.4,0.001
,2005,2005,Louisiana,22,Female,F,25-34 years,25-34,12,303901,Unreliable,1.1,0
,2005,2005,Louisiana,22,Female,F,35-44 years,35-44,15,326311,Unreliable,1.2,0
,2005,2005,Louisiana,22,Female,F,45-54 years,45-54,20,336357,5.9,1.3,0
Total,2005,2005,Louisiana,22,Female,F,,,65,2349441,2.8,0.3,0
,2005,2005,Louisiana,22,Male,M,15-24 years,15-24,30,357350,8.4,1.5,0
,2005,2005,Louisiana,22,Male,M,25-34 years,25-34,48,295642,16.2,2.3,0
,2005,2005,Louisiana,22,Male,M,35-44 years,35-44,57,312104,18.3,2.4,0
,2005,2005,Louisiana,22,Male,M,45-54 years,45-54,33,320796,10.3,1.8,0
Total,2005,2005,Louisiana,22,Male,M,,,176,2227187,7.9,0.6,0
Total,2005,2005,Louisiana,22,,,,,241,4576628,5.3,0.3,0.001
,2005,2005,Maine,23,Female,F,35-44 years,35-44,13,100813,Unreliable,3.6,0
,2005,2005,Maine,23,Female,F,45-54 years,45-54,16,109354,Unreliable,3.7,0
Total,2005,2005,Maine,23,Female,F,,,46,674104,6.8,1,0
,2005,2005,Maine,23,Male,M,15-24 years,15-24,14,89341,Unreliable,4.2,0
,2005,2005,Maine,23,Male,M,25-34 years,25-34,25,71666,34.9,7,0
,2005,2005,Maine,23,Male,M,35-44 years,35-44,22,97043,22.7,4.8,0
,2005,2005,Maine,23,Male,M,45-54 years,45-54,10,105226,Unreliable,3,0
Total,2005,2005,Maine,23,Male,M,,,77,644683,11.9,1.4,0
Total,2005,2005,Maine,23,,,,,123,1318787,9.3,0.8,0
,2005,2005,Maryland,24,Female,F,25-34 years,25-34,26,373167,7.0,1.4,0
,2005,2005,Maryland,24,Female,F,35-44 years,35-44,80,459857,17.4,1.9,0
,2005,2005,Maryland,24,Female,F,45-54 years,45-54,44,440698,10.0,1.5,0
Total,2005,2005,Maryland,24,Female,F,,,170,2891761,5.9,0.5,0
,2005,2005,Maryland,24,Male,M,15-24 years,15-24,34,391647,8.7,1.5,0
,2005,2005,Maryland,24,Male,M,25-34 years,25-34,68,351118,19.4,2.3,0
,2005,2005,Maryland,24,Male,M,35-44 years,35-44,134,425992,31.5,2.7,0
,2005,2005,Maryland,24,Male,M,45-54 years,45-54,136,405549,33.5,2.9,0
,2005,2005,Maryland,24,Male,M,55-64 years,55-64,29,283715,10.2,1.9,0
Total,2005,2005,Maryland,24,Male,M,,,407,2700618,15.1,0.7,0.001
Total,2005,2005,Maryland,24,,,,,577,5592379,10.3,0.4,0.002
,2005,2005,Massachusetts,25,Female,F,15-24 years,15-24,22,443680,5.0,1.1,0
,2005,2005,Massachusetts,25,Female,F,25-34 years,25-34,36,422336,8.5,1.4,0
,2005,2005,Massachusetts,25,Female,F,35-44 years,35-44,67,508010,13.2,1.6,0
,2005,2005,Massachusetts,25,Female,F,45-54 years,45-54,62,489999,12.7,1.6,0
Total,2005,2005,Massachusetts,25,Female,F,,,193,3309010,5.8,0.4,0.001
,2005,2005,Massachusetts,25,Male,M,15-24 years,15-24,45,448910,10.0,1.5,0
,2005,2005,Massachusetts,25,Male,M,25-34 years,25-34,96,409682,23.4,2.4,0
,2005,2005,Massachusetts,25,Male,M,35-44 years,35-44,153,488637,31.3,2.5,0
,2005,2005,Massachusetts,25,Male,M,45-54 years,45-54,137,463800,29.5,2.5,0
,2005,2005,Massachusetts,25,Male,M,55-64 years,55-64,23,326418,7.0,1.5,0
Total,2005,2005,Massachusetts,25,Male,M,,,456,3094280,14.7,0.7,0.001
Total,2005,2005,Massachusetts,25,,,,,649,6403290,10.1,0.4,0.002
,2005,2005,Michigan,26,Female,F,15-24 years,15-24,10,706537,Unreliable,0.4,0
,2005,2005,Michigan,26,Female,F,25-34 years,25-34,35,622185,5.6,1,0
,2005,2005,Michigan,26,Female,F,35-44 years,35-44,60,735341,8.2,1.1,0
,2005,2005,Michigan,26,Female,F,45-54 years,45-54,69,764383,9.0,1.1,0
,2005,2005,Michigan,26,Female,F,55-64 years,55-64,17,547546,Unreliable,0.8,0
Total,2005,2005,Michigan,26,Female,F,,,198,5114320,3.9,0.3,0.001
,2005,2005,Michigan,26,Male,M,15-24 years,15-24,48,736224,6.5,0.9,0
,2005,2005,Michigan,26,Male,M,25-34 years,25-34,84,621193,13.5,1.5,0
,2005,2005,Michigan,26,Male,M,35-44 years,35-44,113,729471,15.5,1.5,0
,2005,2005,Michigan,26,Male,M,45-54 years,45-54,149,742335,20.1,1.6,0
,2005,2005,Michigan,26,Male,M,55-64 years,55-64,33,519514,6.4,1.1,0
Total,2005,2005,Michigan,26,Male,M,,,430,4936817,8.7,0.4,0.001
Total,2005,2005,Michigan,26,,,,,628,10051137,6.2,0.2,0.002
,2005,2005,Minnesota,27,Female,F,35-44 years,35-44,22,379838,5.8,1.2,0
,2005,2005,Minnesota,27,Female,F,45-54 years,45-54,13,382568,Unreliable,0.9,0
Total,2005,2005,Minnesota,27,Female,F,,,56,2579546,2.2,0.3,0
,2005,2005,Minnesota,27,Male,M,15-24 years,15-24,12,381338,Unreliable,0.9,0
,2005,2005,Minnesota,27,Male,M,25-34 years,25-34,19,334693,Unreliable,1.3,0
,2005,2005,Minnesota,27,Male,M,35-44 years,35-44,33,385622,8.6,1.5,0
,2005,2005,Minnesota,27,Male,M,45-54 years,45-54,48,385124,12.5,1.8,0
Total,2005,2005,Minnesota,27,Male,M,,,121,2540052,4.8,0.4,0
Total,2005,2005,Minnesota,27,,,,,177,5119598,3.5,0.3,0
Total,2005,2005,Mississippi,28,Female,F,,,25,1497962,1.7,0.3,0
,2005,2005,Mississippi,28,Male,M,25-34 years,25-34,12,183372,Unreliable,1.9,0
Total,2005,2005,Mississippi,28,Male,M,,,37,1407981,2.6,0.4,0
Total,2005,2005,Mississippi,28,,,,,62,2905943,2.1,0.3,0
,2005,2005,Missouri,29,Female,F,25-34 years,25-34,25,366573,6.8,1.4,0
,2005,2005,Missouri,29,Female,F,35-44 years,35-44,39,413466,9.4,1.5,0
,2005,2005,Missouri,29,Female,F,45-54 years,45-54,55,428075,12.8,1.7,0
Total,2005,2005,Missouri,29,Female,F,,,132,2962870,4.5,0.4,0
,2005,2005,Missouri,29,Male,M,15-24 years,15-24,34,426732,8.0,1.4,0
,2005,2005,Missouri,29,Male,M,25-34 years,25-34,43,362862,11.9,1.8,0
,2005,2005,Missouri,29,Male,M,35-44 years,35-44,66,408327,16.2,2,0
,2005,2005,Missouri,29,Male,M,45-54 years,45-54,65,412179,15.8,2,0
,2005,2005,Missouri,29,Male,M,55-64 years,55-64,14,296437,Unreliable,1.3,0
Total,2005,2005,Missouri,29,Male,M,,,223,2827430,7.9,0.5,0.001
Total,2005,2005,Missouri,29,,,,,355,5790300,6.1,0.3,0.001
Total,2005,2005,Montana,30,Female,F,,,21,469780,4.5,1,0
,2005,2005,Montana,30,Male,M,45-54 years,45-54,11,75412,Unreliable,4.4,0
Total,2005,2005,Montana,30,Male,M,,,26,470322,5.5,1.1,0
Total,2005,2005,Montana,30,,,,,47,940102,5.0,0.7,0
Total,2005,2005,Nebraska,31,Female,F,,,22,889468,2.5,0.5,0
,2005,2005,Nebraska,31,Male,M,35-44 years,35-44,11,120396,Unreliable,2.8,0
Total,2005,2005,Nebraska,31,Male,M,,,23,872029,2.6,0.5,0
Total,2005,2005,Nebraska,31,,,,,45,1761497,2.6,0.4,0
,2005,2005,Nevada,32,Female,F,15-24 years,15-24,18,154904,Unreliable,2.7,0
,2005,2005,Nevada,32,Female,F,25-34 years,25-34,16,172076,Unreliable,2.3,0
,2005,2005,Nevada,32,Female,F,35-44 years,35-44,42,177207,23.7,3.7,0
,2005,2005,Nevada,32,Female,F,45-54 years,45-54,44,166268,26.5,4,0
,2005,2005,Nevada,32,Female,F,55-64 years,55-64,16,135291,Unreliable,3,0
Total,2005,2005,Nevada,32,Female,F,,,142,1198846,11.8,1,0
,2005,2005,Nevada,32,Male,M,15-24 years,15-24,21,165446,12.7,2.8,0
,2005,2005,Nevada,32,Male,M,25-34 years,25-34,40,182988,21.9,3.5,0
,2005,2005,Nevada,32,Male,M,35-44 years,35-44,58,191778,30.2,4,0
,2005,2005,Nevada,32,Male,M,45-54 years,45-54,72,169768,42.4,5,0
,2005,2005,Nevada,32,Male,M,55-64 years,55-64,21,133011,15.8,3.4,0
Total,2005,2005,Nevada,32,Male,M,,,217,1233297,17.6,1.2,0.001
Total,2005,2005,Nevada,32,,,,,359,2432143,14.8,0.8,0.001
,2005,2005,New Hampshire,33,Female,F,35-44 years,35-44,10,105165,Unreliable,3,0
Total,2005,2005,New Hampshire,33,Female,F,,,28,657932,4.3,0.8,0
,2005,2005,New Hampshire,33,Male,M,15-24 years,15-24,14,90773,Unreliable,4.1,0
,2005,2005,New Hampshire,33,Male,M,25-34 years,25-34,12,72936,Unreliable,4.7,0
,2005,2005,New Hampshire,33,Male,M,35-44 years,35-44,33,103240,32.0,5.6,0
,2005,2005,New Hampshire,33,Male,M,45-54 years,45-54,24,105373,22.8,4.6,0
Total,2005,2005,New Hampshire,33,Male,M,,,89,640560,13.9,1.5,0
Total,2005,2005,New Hampshire,33,,,,,117,1298492,9.0,0.8,0
,2005,2005,New Jersey,34,Female,F,15-24 years,15-24,15,530845,Unreliable,0.7,0
,2005,2005,New Jersey,34,Female,F,25-34 years,25-34,27,554793,4.9,0.9,0
,2005,2005,New Jersey,34,Female,F,35-44 years,35-44,60,700572,8.6,1.1,0
,2005,2005,New Jersey,34,Female,F,45-54 years,45-54,36,661487,5.4,0.9,0
,2005,2005,New Jersey,34,Female,F,55-64 years,55-64,11,480528,Unreliable,0.7,0
Total,2005,2005,New Jersey,34,Female,F,,,155,4443545,3.5,0.3,0
,2005,2005,New Jersey,34,Male,M,15-24 years,15-24,42,565681,7.4,1.1,0
,2005,2005,New Jersey,34,Male,M,25-34 years,25-34,102,553401,18.4,1.8,0
,2005,2005,New Jersey,34,Male,M,35-44 years,35-44,127,676276,18.8,1.7,0
,2005,2005,New Jersey,34,Male,M,45-54 years,45-54,108,628208,17.2,1.7,0
,2005,2005,New Jersey,34,Male,M,55-64 years,55-64,35,433623,8.1,1.4,0
Total,2005,2005,New Jersey,34,Male,M,,,420,4208429,10.0,0.5,0.001
Total,2005,2005,New Jersey,34,,,,,575,8651974,6.6,0.3,0.002
,2005,2005,New Mexico,35,Female,F,25-34 years,25-34,11,120317,Unreliable,2.8,0
,2005,2005,New Mexico,35,Female,F,35-44 years,35-44,20,133053,15.0,3.4,0
,2005,2005,New Mexico,35,Female,F,45-54 years,45-54,21,142193,14.8,3.2,0
Total,2005,2005,New Mexico,35,Female,F,,,64,978520,6.5,0.8,0
,2005,2005,New Mexico,35,Male,M,25-34 years,25-34,41,122059,33.6,5.2,0
,2005,2005,New Mexico,35,Male,M,35-44 years,35-44,65,129648,50.1,6.2,0
,2005,2005,New Mexico,35,Male,M,45-54 years,45-54,63,134999,46.7,5.9,0
,2005,2005,New Mexico,35,Male,M,55-64 years,55-64,16,100486,Unreliable,4,0
Total,2005,2005,New Mexico,35,Male,M,,,196,953754,20.6,1.5,0.001
Total,2005,2005,New Mexico,35,,,,,260,1932274,13.5,0.8,0.001
,2005,2005,New York,36,Female,F,15-24 years,15-24,14,1315315,Unreliable,0.3,0
,2005,2005,New York,36,Female,F,25-34 years,25-34,16,1315149,Unreliable,0.3,0
,2005,2005,New York,36,Female,F,35-44 years,35-44,67,1482689,4.5,0.6,0
,2005,2005,New York,36,Female,F,45-54 years,45-54,70,1421076,4.9,0.6,0
,2005,2005,New York,36,Female,F,55-64 years,55-64,23,1070993,2.1,0.4,0
Total,2005,2005,New York,36,Female,F,,,195,9887467,2.0,0.1,0.001
,2005,2005,New York,36,Male,M,15-24 years,15-24,42,1366427,3.1,0.5,0
,2005,2005,New York,36,Male,M,25-34 years,25-34,85,1268800,6.7,0.7,0
,2005,2005,New York,36,Male,M,35-44 years,35-44,149,1425858,10.4,0.9,0
,2005,2005,New York,36,Male,M,45-54 years,45-54,215,1337204,16.1,1.1,0.001
,2005,2005,New York,36,Male,M,55-64 years,55-64,70,946497,7.4,0.9,0
,2005,2005,New York,36,Male,M,65-74 years,65-74,16,557964,Unreliable,0.7,0
Total,2005,2005,New York,36,Male,M,,,578,9245143,6.3,0.3,0.002
Total,2005,2005,New York,36,,,,,773,19132610,4.0,0.1,0.002
,2005,2005,North Carolina,37,Female,F,15-24 years,15-24,25,589135,4.2,0.8,0
,2005,2005,North Carolina,37,Female,F,25-34 years,25-34,58,598342,9.7,1.3,0
,2005,2005,North Carolina,37,Female,F,35-44 years,35-44,85,661005,12.9,1.4,0
,2005,2005,North Carolina,37,Female,F,45-54 years,45-54,99,636979,15.5,1.6,0
,2005,2005,North Carolina,37,Female,F,55-64 years,55-64,23,490768,4.7,1,0
Total,2005,2005,North Carolina,37,Female,F,,,297,4457189,6.7,0.4,0.001
,2005,2005,North Carolina,37,Male,M,15-24 years,15-24,79,625177,12.6,1.4,0
,2005,2005,North Carolina,37,Male,M,25-34 years,25-34,140,588723,23.8,2,0
,2005,2005,North Carolina,37,Male,M,35-44 years,35-44,146,646009,22.6,1.9,0
,2005,2005,North Carolina,37,Male,M,45-54 years,45-54,127,600948,21.1,1.9,0
,2005,2005,North Carolina,37,Male,M,55-64 years,55-64,31,449250,6.9,1.2,0
Total,2005,2005,North Carolina,37,Male,M,,,531,4248218,12.5,0.5,0.001
Total,2005,2005,North Carolina,37,,,,,828,8705407,9.5,0.3,0.002
,2005,2005,Ohio,39,Female,F,15-24 years,15-24,14,785427,Unreliable,0.5,0
,2005,2005,Ohio,39,Female,F,25-34 years,25-34,42,721949,5.8,0.9,0
,2005,2005,Ohio,39,Female,F,35-44 years,35-44,67,829324,8.1,1,0
,2005,2005,Ohio,39,Female,F,45-54 years,45-54,76,875009,8.7,1,0
,2005,2005,Ohio,39,Female,F,55-64 years,55-64,17,637259,Unreliable,0.6,0
Total,2005,2005,Ohio,39,Female,F,,,226,5876703,3.8,0.3,0.001
,2005,2005,Ohio,39,Male,M,15-24 years,15-24,61,810921,7.5,1,0
,2005,2005,Ohio,39,Male,M,25-34 years,25-34,108,713266,15.1,1.5,0
,2005,2005,Ohio,39,Male,M,35-44 years,35-44,127,813825,15.6,1.4,0
,2005,2005,Ohio,39,Male,M,45-54 years,45-54,137,843613,16.2,1.4,0
,2005,2005,Ohio,39,Male,M,55-64 years,55-64,36,592427,6.1,1,0
Total,2005,2005,Ohio,39,Male,M,,,482,5586617,8.6,0.4,0.001
Total,2005,2005,Ohio,39,,,,,708,11463320,6.2,0.2,0.002
,2005,2005,Oklahoma,40,Female,F,25-34 years,25-34,18,223795,Unreliable,1.9,0
,2005,2005,Oklahoma,40,Female,F,35-44 years,35-44,38,239004,15.9,2.6,0
,2005,2005,Oklahoma,40,Female,F,45-54 years,45-54,55,253570,21.7,2.9,0
,2005,2005,Oklahoma,40,Female,F,55-64 years,55-64,22,195900,11.2,2.4,0
Total,2005,2005,Oklahoma,40,Female,F,,,144,1796475,8.0,0.7,0
,2005,2005,Oklahoma,40,Male,M,15-24 years,15-24,36,278494,12.9,2.2,0
,2005,2005,Oklahoma,40,Male,M,25-34 years,25-34,38,231097,16.4,2.7,0
,2005,2005,Oklahoma,40,Male,M,35-44 years,35-44,53,239419,22.1,3,0
,2005,2005,Oklahoma,40,Male,M,45-54 years,45-54,50,246991,20.2,2.9,0
Total,2005,2005,Oklahoma,40,Male,M,,,185,1752122,10.6,0.8,0.001
Total,2005,2005,Oklahoma,40,,,,,329,3548597,9.3,0.5,0.001
,2005,2005,Oregon,41,Female,F,25-34 years,25-34,12,235689,Unreliable,1.5,0
,2005,2005,Oregon,41,Female,F,35-44 years,35-44,32,249107,12.8,2.3,0
,2005,2005,Oregon,41,Female,F,45-54 years,45-54,41,277501,14.8,2.3,0
,2005,2005,Oregon,41,Female,F,55-64 years,55-64,14,210184,Unreliable,1.8,0
Total,2005,2005,Oregon,41,Female,F,,,109,1823447,6.0,0.6,0
,2005,2005,Oregon,41,Male,M,15-24 years,15-24,18,257226,Unreliable,1.6,0
,2005,2005,Oregon,41,Male,M,25-34 years,25-34,46,246130,18.7,2.8,0
,2005,2005,Oregon,41,Male,M,35-44 years,35-44,49,254630,19.2,2.7,0
,2005,2005,Oregon,41,Male,M,45-54 years,45-54,84,268534,31.3,3.4,0
,2005,2005,Oregon,41,Male,M,55-64 years,55-64,18,202574,Unreliable,2.1,0
Total,2005,2005,Oregon,41,Male,M,,,219,1789755,12.2,0.8,0.001
Total,2005,2005,Oregon,41,,,,,328,3613202,9.1,0.5,0.001
,2005,2005,Pennsylvania,42,Female,F,15-24 years,15-24,18,845678,Unreliable,0.5,0
,2005,2005,Pennsylvania,42,Female,F,25-34 years,25-34,36,735250,4.9,0.8,0
,2005,2005,Pennsylvania,42,Female,F,35-44 years,35-44,65,904768,7.2,0.9,0
,2005,2005,Pennsylvania,42,Female,F,45-54 years,45-54,60,958301,6.3,0.8,0
Total,2005,2005,Pennsylvania,42,Female,F,,,192,6405053,3.0,0.2,0.001
,2005,2005,Pennsylvania,42,Male,M,15-24 years,15-24,66,877390,7.5,0.9,0
,2005,2005,Pennsylvania,42,Male,M,25-34 years,25-34,86,732793,11.7,1.3,0
,2005,2005,Pennsylvania,42,Male,M,35-44 years,35-44,125,884353,14.1,1.3,0
,2005,2005,Pennsylvania,42,Male,M,45-54 years,45-54,105,929158,11.3,1.1,0
,2005,2005,Pennsylvania,42,Male,M,55-64 years,55-64,20,662238,3.0,0.7,0
Total,2005,2005,Pennsylvania,42,Male,M,,,407,6044937,6.7,0.3,0.001
Total,2005,2005,Pennsylvania,42,,,,,599,12449990,4.8,0.2,0.002
,2005,2005,Rhode Island,44,Female,F,35-44 years,35-44,16,81926,Unreliable,4.9,0
,2005,2005,Rhode Island,44,Female,F,45-54 years,45-54,16,81453,Unreliable,4.9,0
Total,2005,2005,Rhode Island,44,Female,F,,,44,552832,8.0,1.2,0
,2005,2005,Rhode Island,44,Male,M,35-44 years,35-44,28,78485,35.7,6.7,0
,2005,2005,Rhode Island,44,Male,M,45-54 years,45-54,34,76379,44.5,7.6,0
Total,2005,2005,Rhode Island,44,Male,M,,,84,515084,16.3,1.8,0
Total,2005,2005,Rhode Island,44,,,,,128,1067916,12.0,1.1,0
,2005,2005,South Carolina,45,Female,F,25-34 years,25-34,11,281266,Unreliable,1.2,0
,2005,2005,South Carolina,45,Female,F,35-44 years,35-44,27,311194,8.7,1.7,0
,2005,2005,South Carolina,45,Female,F,45-54 years,45-54,22,316615,6.9,1.5,0
,2005,2005,South Carolina,45,Female,F,55-64 years,55-64,13,252398,Unreliable,1.4,0
Total,2005,2005,South Carolina,45,Female,F,,,79,2192345,3.6,0.4,0
,2005,2005,South Carolina,45,Male,M,15-24 years,15-24,20,318014,6.3,1.4,0
,2005,2005,South Carolina,45,Male,M,25-34 years,25-34,25,277170,9.0,1.8,0
,2005,2005,South Carolina,45,Male,M,35-44 years,35-44,43,299903,14.3,2.2,0
,2005,2005,South Carolina,45,Male,M,45-54 years,45-54,35,294247,11.9,2,0
,2005,2005,South Carolina,45,Male,M,55-64 years,55-64,12,230602,Unreliable,1.5,0
Total,2005,2005,South Carolina,45,Male,M,,,137,2077805,6.6,0.6,0
Total,2005,2005,South Carolina,45,,,,,216,4270150,5.1,0.3,0.001
Total,2005,2005,South Dakota,46,Female,F,,,11,389021,Unreliable,0.9,0
Total,2005,2005,South Dakota,46,Male,M,,,13,386472,Unreliable,0.9,0
Total,2005,2005,South Dakota,46,,,,,24,775493,3.1,0.6,0
,2005,2005,Tennessee,47,Female,F,15-24 years,15-24,14,407893,Unreliable,0.9,0
,2005,2005,Tennessee,47,Female,F,25-34 years,25-34,54,403542,13.4,1.8,0
,2005,2005,Tennessee,47,Female,F,35-44 years,35-44,75,443305,16.9,2,0
,2005,2005,Tennessee,47,Female,F,45-54 years,45-54,71,445444,15.9,1.9,0
,2005,2005,Tennessee,47,Female,F,55-64 years,55-64,22,343950,6.4,1.4,0
Total,2005,2005,Tennessee,47,Female,F,,,242,3068439,7.9,0.5,0.001
,2005,2005,Tennessee,47,Male,M,15-24 years,15-24,44,421701,10.4,1.6,0
,2005,2005,Tennessee,47,Male,M,25-34 years,25-34,73,400178,18.2,2.1,0
,2005,2005,Tennessee,47,Male,M,35-44 years,35-44,100,432766,23.1,2.3,0
,2005,2005,Tennessee,47,Male,M,45-54 years,45-54,98,421457,23.3,2.3,0
,2005,2005,Tennessee,47,Male,M,55-64 years,55-64,22,321581,6.8,1.5,0
Total,2005,2005,Tennessee,47,Male,M,,,340,2922618,11.6,0.6,0.001
Total,2005,2005,Tennessee,47,,,,,582,5991057,9.7,0.4,0.002
,2005,2005,Texas,48,Female,F,15-24 years,15-24,25,1684543,1.5,0.3,0
,2005,2005,Texas,48,Female,F,25-34 years,25-34,50,1633778,3.1,0.4,0
,2005,2005,Texas,48,Female,F,35-44 years,35-44,134,1667729,8.0,0.7,0
,2005,2005,Texas,48,Female,F,45-54 years,45-54,136,1553478,8.8,0.8,0
,2005,2005,Texas,48,Female,F,55-64 years,55-64,38,1074020,3.5,0.6,0
,2005,2005,Texas,48,Female,F,65-74 years,65-74,14,662386,Unreliable,0.6,0
Total,2005,2005,Texas,48,Female,F,,,403,11470439,3.5,0.2,0.001
,2005,2005,Texas,48,Male,M,15-24 years,15-24,116,1804008,6.4,0.6,0
,2005,2005,Texas,48,Male,M,25-34 years,25-34,169,1663916,10.2,0.8,0
,2005,2005,Texas,48,Male,M,35-44 years,35-44,257,1668891,15.4,1,0.001
,2005,2005,Texas,48,Male,M,45-54 years,45-54,208,1524292,13.6,0.9,0.001
,2005,2005,Texas,48,Male,M,55-64 years,55-64,65,1008906,6.4,0.8,0
Total,2005,2005,Texas,48,Male,M,,,829,11307684,7.3,0.3,0.002
Total,2005,2005,Texas,48,,,,,1232,22778123,5.4,0.2,0.003
,2005,2005,Utah,49,Female,F,25-34 years,25-34,34,185807,18.3,3.1,0
,2005,2005,Utah,49,Female,F,35-44 years,35-44,43,147645,29.1,4.4,0
,2005,2005,Utah,49,Female,F,45-54 years,45-54,47,141410,33.2,4.8,0
,2005,2005,Utah,49,Female,F,55-64 years,55-64,12,96072,Unreliable,3.6,0
Total,2005,2005,Utah,49,Female,F,,,149,1224741,12.2,1,0
,2005,2005,Utah,49,Male,M,15-24 years,15-24,45,227427,19.8,2.9,0
,2005,2005,Utah,49,Male,M,25-34 years,25-34,52,194133,26.8,3.7,0
,2005,2005,Utah,49,Male,M,35-44 years,35-44,44,152039,28.9,4.4,0
,2005,2005,Utah,49,Male,M,45-54 years,45-54,46,140425,32.8,4.8,0
,2005,2005,Utah,49,Male,M,55-64 years,55-64,13,92803,Unreliable,3.9,0
Total,2005,2005,Utah,49,Male,M,,,202,1232978,16.4,1.2,0.001
Total,2005,2005,Utah,49,,,,,351,2457719,14.3,0.8,0.001
Total,2005,2005,Vermont,50,Female,F,,,14,315422,Unreliable,1.2,0
Total,2005,2005,Vermont,50,Male,M,,,26,305793,8.5,1.7,0
Total,2005,2005,Vermont,50,,,,,40,621215,6.4,1,0
,2005,2005,Virginia,51,Female,F,15-24 years,15-24,12,526701,Unreliable,0.7,0
,2005,2005,Virginia,51,Female,F,25-34 years,25-34,29,510170,5.7,1.1,0
,2005,2005,Virginia,51,Female,F,35-44 years,35-44,61,595787,10.2,1.3,0
,2005,2005,Virginia,51,Female,F,45-54 years,45-54,30,576532,5.2,1,0
,2005,2005,Virginia,51,Female,F,55-64 years,55-64,23,421519,5.5,1.1,0
Total,2005,2005,Virginia,51,Female,F,,,159,3863646,4.1,0.3,0
,2005,2005,Virginia,51,Male,M,15-24 years,15-24,42,559640,7.5,1.2,0
,2005,2005,Virginia,51,Male,M,25-34 years,25-34,73,508900,14.3,1.7,0
,2005,2005,Virginia,51,Male,M,35-44 years,35-44,96,575168,16.7,1.7,0
,2005,2005,Virginia,51,Male,M,45-54 years,45-54,56,548824,10.2,1.4,0
,2005,2005,Virginia,51,Male,M,55-64 years,55-64,20,394007,5.1,1.1,0
Total,2005,2005,Virginia,51,Male,M,,,288,3713459,7.8,0.5,0.001
Total,2005,2005,Virginia,51,,,,,447,7577105,5.9,0.3,0.001
,2005,2005,Washington,53,Female,F,15-24 years,15-24,10,433726,Unreliable,0.7,0
,2005,2005,Washington,53,Female,F,25-34 years,25-34,35,415141,8.4,1.4,0
,2005,2005,Washington,53,Female,F,35-44 years,35-44,60,464622,12.9,1.7,0
,2005,2005,Washington,53,Female,F,45-54 years,45-54,96,477525,20.1,2.1,0
,2005,2005,Washington,53,Female,F,55-64 years,55-64,33,342119,9.6,1.7,0
